"filename", "language", "JavaScript", "Vue.js", "SCSS", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\.eslintrc.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 8, 2, 30
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\.postcssrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\README.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 0, 11, 31
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\build.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\check-versions.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\utils.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 5, 17, 102
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\vue-loader.conf.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\webpack.base.conf.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 4, 4, 93
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\webpack.dev.conf.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 7, 7, 96
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\webpack.prod.conf.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 24, 8, 150
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\config\dev.env.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\config\index.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 32, 16, 87
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\config\prod.env.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\config\test.env.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\index.html", "HTML", 0, 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\package-lock.json", "JSON", 0, 0, 0, 0, 0, 17397, 0, 0, 1, 17398
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\package.json", "JSON", 0, 0, 0, 0, 0, 95, 0, 0, 1, 96
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\App.vue", "Vue.js", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\appdetail.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\changegrade.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 1, 2, 20
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\codeset.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\complain.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 1, 2, 18
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\getcourse.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\getgpa.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 4, 14
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\getscore.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 2, 6, 33
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\login.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 1, 12, 51
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\logout.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 2, 12
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\teaappeal.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 1, 5, 44
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\teagetscore.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 1, 2, 18
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\userinfo.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\images\dark.svg", "XML", 0, 0, 0, 39, 0, 0, 0, 0, 0, 39
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\images\light.svg", "XML", 0, 0, 0, 39, 0, 0, 0, 0, 0, 39
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\btn.scss", "SCSS", 0, 0, 83, 0, 0, 0, 0, 0, 17, 100
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\element-ui.scss", "SCSS", 0, 0, 64, 0, 0, 0, 0, 6, 15, 85
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\element-variables.scss", "SCSS", 0, 0, 13, 0, 0, 0, 0, 10, 9, 32
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\index.scss", "SCSS", 0, 0, 154, 0, 0, 0, 0, 2, 36, 192
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\mixin.scss", "SCSS", 0, 0, 56, 0, 0, 0, 0, 0, 11, 67
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\ruoyi.scss", "SCSS", 0, 0, 197, 0, 0, 0, 0, 12, 32, 241
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\sidebar.scss", "SCSS", 0, 0, 180, 0, 0, 0, 0, 6, 41, 227
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\transition.scss", "SCSS", 0, 0, 35, 0, 0, 0, 0, 4, 10, 49
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\variables.scss", "SCSS", 0, 0, 34, 0, 0, 0, 0, 4, 7, 45
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\a11.vue", "Vue.js", 0, 110, 0, 0, 0, 0, 0, 1, 5, 116
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\a12.vue", "Vue.js", 0, 69, 0, 0, 0, 0, 0, 1, 9, 79
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\a21.vue", "Vue.js", 0, 191, 0, 0, 0, 0, 0, 13, 12, 216
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\a22.vue", "Vue.js", 0, 183, 0, 0, 0, 0, 0, 13, 13, 209
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\a3.vue", "Vue.js", 0, 24, 0, 0, 0, 0, 0, 0, 10, 34
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\admgui.vue", "Vue.js", 0, 141, 0, 0, 0, 0, 0, 4, 17, 162
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\login.vue", "Vue.js", 0, 200, 0, 0, 0, 0, 0, 9, 28, 237
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\p11.vue", "Vue.js", 0, 109, 0, 0, 0, 0, 0, 2, 6, 117
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\p12.vue", "Vue.js", 0, 134, 0, 0, 0, 0, 0, 2, 4, 140
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\p13.vue", "Vue.js", 0, 88, 0, 0, 0, 0, 0, 1, 11, 100
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\p21.vue", "Vue.js", 0, 254, 0, 0, 0, 0, 0, 6, 11, 271
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\p22.vue", "Vue.js", 0, 205, 0, 0, 0, 0, 0, 3, 9, 217
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\p3.vue", "Vue.js", 0, 121, 0, 0, 0, 0, 0, 7, 24, 152
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\p4.vue", "Vue.js", 0, 91, 0, 0, 0, 0, 0, 5, 19, 115
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\stugui.vue", "Vue.js", 0, 155, 0, 0, 0, 0, 0, 4, 20, 179
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\t11.vue", "Vue.js", 0, 110, 0, 0, 0, 0, 0, 1, 4, 115
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\t12.vue", "Vue.js", 0, 123, 0, 0, 0, 0, 0, 2, 6, 131
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\t13.vue", "Vue.js", 0, 80, 0, 0, 0, 0, 0, 2, 8, 90
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\t21.vue", "Vue.js", 0, 224, 0, 0, 0, 0, 0, 13, 9, 246
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\t22.vue", "Vue.js", 0, 282, 0, 0, 0, 0, 0, 3, 17, 302
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\t3.vue", "Vue.js", 0, 20, 0, 0, 0, 0, 0, 0, 8, 28
"c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\components\t4.vue", "Vue.js", 0, 247, 0, 0, 0, 0, 0, 8, 16, 271
