Date : 2021-01-12 18:50:10
Directory : c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage
Total : 75 files,  22833 codes, 285 comments, 658 blanks, all 23776 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          2 |     17,492 |          0 |          2 |     17,494 |
| Vue.js     |         24 |      3,334 |        103 |        288 |      3,725 |
| JavaScript |         36 |      1,082 |        137 |        178 |      1,397 |
| SCSS       |          9 |        816 |         44 |        178 |      1,038 |
| XML        |          2 |         78 |          0 |          0 |         78 |
| Markdown   |          1 |         20 |          0 |         11 |         31 |
| HTML       |          1 |         11 |          1 |          1 |         13 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |         75 |     22,833 |        285 |        658 |     23,776 |
| build                                                                                         |          7 |        466 |         40 |         55 |        561 |
| config                                                                                        |          4 |         55 |         32 |         21 |        108 |
| src                                                                                           |         50 |      4,603 |        175 |        538 |      5,316 |
| src\api                                                                                       |         12 |        212 |         11 |         47 |        270 |
| src\assets                                                                                    |         11 |        894 |         44 |        178 |      1,116 |
| src\assets\images                                                                             |          2 |         78 |          0 |          0 |         78 |
| src\assets\styles                                                                             |          9 |        816 |         44 |        178 |      1,038 |
| src\components                                                                                |         23 |      3,316 |        103 |        285 |      3,704 |
| src\router                                                                                    |          1 |        128 |          0 |         15 |        143 |
| src\utils                                                                                     |          1 |         19 |         14 |          6 |         39 |
| test                                                                                          |          7 |        142 |         25 |         24 |        191 |
| test\e2e                                                                                      |          4 |        103 |         22 |         19 |        144 |
| test\e2e\custom-assertions                                                                    |          1 |         18 |          8 |          2 |         28 |
| test\e2e\specs                                                                                |          1 |         12 |          5 |          3 |         20 |
| test\unit                                                                                     |          3 |         39 |          3 |          5 |         47 |
| test\unit\specs                                                                               |          1 |         10 |          0 |          2 |         12 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                      | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\.eslintrc.js                               | JavaScript |         20 |          8 |          2 |         30 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\.postcssrc.js                              | JavaScript |          7 |          2 |          2 |         11 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\README.md                                  | Markdown   |         20 |          0 |         11 |         31 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\build.js                             | JavaScript |         35 |          0 |          7 |         42 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\check-versions.js                    | JavaScript |         45 |          0 |         10 |         55 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\utils.js                             | JavaScript |         80 |          5 |         17 |        102 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\vue-loader.conf.js                   | JavaScript |         21 |          0 |          2 |         23 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\webpack.base.conf.js                 | JavaScript |         85 |          4 |          4 |         93 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\webpack.dev.conf.js                  | JavaScript |         82 |          7 |          7 |         96 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\build\webpack.prod.conf.js                 | JavaScript |        118 |         24 |          8 |        150 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\config\dev.env.js                          | JavaScript |          6 |          0 |          2 |          8 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\config\index.js                            | JavaScript |         39 |         32 |         16 |         87 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\config\prod.env.js                         | JavaScript |          4 |          0 |          1 |          5 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\config\test.env.js                         | JavaScript |          6 |          0 |          2 |          8 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\index.html                                 | HTML       |         11 |          1 |          1 |         13 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\package-lock.json                          | JSON       |     17,397 |          0 |          1 |     17,398 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\package.json                               | JSON       |         95 |          0 |          1 |         96 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\App.vue                                | Vue.js     |         18 |          0 |          3 |         21 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\appdetail.js                       | JavaScript |          7 |          1 |          2 |         10 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\changegrade.js                     | JavaScript |         17 |          1 |          2 |         20 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\codeset.js                         | JavaScript |         14 |          0 |          4 |         18 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\complain.js                        | JavaScript |         15 |          1 |          2 |         18 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\getcourse.js                       | JavaScript |         16 |          0 |          3 |         19 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\getgpa.js                          | JavaScript |          9 |          1 |          4 |         14 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\getscore.js                        | JavaScript |         25 |          2 |          6 |         33 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\login.js                           | JavaScript |         38 |          1 |         12 |         51 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\logout.js                          | JavaScript |          9 |          1 |          2 |         12 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\teaappeal.js                       | JavaScript |         38 |          1 |          5 |         44 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\teagetscore.js                     | JavaScript |         15 |          1 |          2 |         18 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\api\userinfo.js                        | JavaScript |          9 |          1 |          3 |         13 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\images\dark.svg                 | XML        |         39 |          0 |          0 |         39 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\images\light.svg                | XML        |         39 |          0 |          0 |         39 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\btn.scss                 | SCSS       |         83 |          0 |         17 |        100 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\element-ui.scss          | SCSS       |         64 |          6 |         15 |         85 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\element-variables.scss   | SCSS       |         13 |         10 |          9 |         32 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\index.scss               | SCSS       |        154 |          2 |         36 |        192 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\mixin.scss               | SCSS       |         56 |          0 |         11 |         67 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\ruoyi.scss               | SCSS       |        197 |         12 |         32 |        241 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\sidebar.scss             | SCSS       |        180 |          6 |         41 |        227 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\transition.scss          | SCSS       |         35 |          4 |         10 |         49 |
| c:\Users\ASUS\Desktop\rjsx\chengji-ui\score-manage\src\assets\styles\variables.scss           | SCSS       |         34 |          4 |          7 |         45 |
